elo,match32,top3_32,cploss32,match256,top3_256,cploss256,match4096,top3_4096,cploss4096,match65536,top3_65536,cploss65536
2235,0,1,6,0,1,3,0,1,84,1,1,11
1238,1,1,22,1,1,23,1,1,0,1,1,0
1729,1,1,0,1,1,114,0,1,75,1,1,0
1990,0,0,1565,0,0,0,0,1,0,0,1,0
1563,0,0,1,0,1,153,0,0,38,0,0,48
1700,0,1,20,0,1,50,0,1,72,0,1,99
1668,0,1,23,0,1,43,0,0,6,0,0,17
1474,0,1,181,0,0,164,0,0,141,0,0,1813
1632,1,1,16,0,1,143,0,0,81,0,0,40
1912,1,1,0,1,1,32,0,0,62,0,0,90
1123,0,0,245,0,0,232,0,0,375,0,0,394
1554,0,1,61,0,1,101,0,0,118,0,0,96
1090,0,0,74,0,0,74,0,0,128,0,0,87
1005,1,1,121,0,0,0,0,1,200,0,1,226
1749,0,1,91,0,1,140,0,1,133,0,1,41
1708,0,1,232,0,1,0,0,1,2,0,0,1
1811,1,1,97,1,1,0,0,1,99,0,1,144
1609,1,1,0,1,1,36,1,1,0,1,1,19
1336,1,1,6,1,1,193,0,0,46,0,1,65
1609,0,1,0,1,1,50,1,1,15,0,1,34
1629,0,1,0,0,1,0,1,1,0,1,1,0
1584,0,0,4,0,1,34,0,1,0,1,1,0
1535,0,0,91,0,0,146,0,0,303,0,0,382
1988,0,1,38,0,1,133,0,1,14,1,1,16
902,1,1,0,1,1,0,1,1,0,1,1,0
2526,1,1,29,0,1,17,0,1,11,0,0,0
916,0,0,194,0,0,196,0,0,84,0,0,83
2057,0,0,296,0,1,279,0,1,218,0,1,329
1864,0,1,36,0,0,132,1,1,51,0,0,50
996,0,0,68,0,0,0,0,1,0,0,1,17
2166,0,0,3,0,1,0,0,1,0,0,0,298
1512,0,1,0,1,1,60,0,1,45,0,0,102
743,1,1,0,1,1,55,1,1,32,1,1,67
1381,0,1,1,0,1,0,0,1,0,0,0,0
1984,0,1,2,0,0,0,1,1,0,1,1,0
963,0,1,0,1,1,105,0,0,49,0,0,56
2115,0,1,129,0,1,0,0,1,0,0,1,72
1686,0,0,69,0,0,81,0,0,285,0,0,309
